longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-120.58961720677247,39.92850579670826,18,2162,2740,2793,1903,2.1319465686580132,389705,<1H OCEAN
-114.80482836364445,34.41893029011017,26,164,3890,3727,1570,6.175162384859663,62254,NEAR OCEAN
-117.00078082421349,37.378946065472086,44,8106,1078,9655,2539,4.390239135883962,299062,NEAR OCEAN
-118.33946881866176,38.11462109299182,34,2668,552,5550,613,12.243956589318543,100981,NEAR OCEAN
-122.78357284995793,32.97709838369518,10,5563,4543,1763,1341,7.584208882244538,468929,NEAR BAY
-122.78381501582452,38.256997056392535,36,2127,920,9821,1686,14.767923972527802,45306,<1H OCEAN
-123.76684053383127,34.144632003897414,14,2795,4538,5692,748,6.583542194223742,162718,NEAR BAY
-115.65359149641965,33.15213548999148,31,9787,256,7492,2210,12.430046225071376,323987,NEAR OCEAN
-118.31480528209818,41.46901290555387,48,5358,1534,1406,51,12.176831749783716,135975,<1H OCEAN
-117.2409513189277,41.62659743123161,15,5718,913,6876,691,3.1100456155160128,373745,NEAR BAY
-124.14333167727014,40.1470190457759,8,6836,2840,5964,2317,8.11478287437006,498951,NEAR BAY
-114.61210508429357,35.40641556792142,14,491,613,9574,1639,10.741379295072345,122512,NEAR OCEAN
-115.99227588636377,33.45909459280007,23,5992,4241,7626,904,13.017023267392078,162443,<1H OCEAN
-122.2181153287901,38.9786327794794,40,3661,1807,9001,1809,5.563424672826386,485587,NEAR OCEAN
-122.52447732924071,36.68183496608965,21,6284,1728,5675,2482,4.083374665917676,388616,<1H OCEAN
-122.50861872107151,33.68837978988937,16,3199,3292,5630,1711,10.95609345413225,148121,ISLAND
-121.29540788068624,37.199614724147054,45,6378,4686,4513,1203,12.333014645956016,177688,INLAND
-119.08144542641233,32.8635959836942,18,8492,1109,3848,1126,5.8813238220842115,380871,INLAND
-120.01327201283316,41.09670498356134,47,3204,1772,763,1757,2.3464717152798906,390037,INLAND
-121.42605943241166,34.975119626856156,24,7315,3364,2098,2827,14.167325702854455,298076,NEAR OCEAN
-118.20699693698731,38.774334695770975,26,2554,3207,8094,1745,6.566008295225313,132796,ISLAND
-122.9494816390535,35.47320122600136,25,9096,2675,1595,1783,8.248518907384721,306999,<1H OCEAN
-121.4168677287064,37.4338400792832,45,2831,2779,3404,1489,12.727941482702592,207506,NEAR BAY
-120.67172709333133,37.68454372862026,41,8254,1647,3863,2344,10.45966163854993,480910,<1H OCEAN
-119.77105735846095,34.27948042649521,29,9862,3110,5332,885,11.29302566937081,189088,NEAR BAY
