id,age,job
1,33,0
2,28,1
3,61,0
4,48,0
5,39,1
6,20,0
7,19,1
8,32,1
9,61,1
10,55,1
11,29,0
12,61,0
13,33,1
14,32,0
15,39,0
16,48,0
17,65,1
18,33,1
19,45,1
20,54,0
21,31,0
22,62,1
23,63,1
24,65,1
25,51,0
26,38,1
27,51,1
28,48,0
29,28,1
30,22,1
31,49,1
32,22,0
33,50,1
34,64,0
35,52,1
36,55,0
37,60,1
38,59,1
39,26,1
40,49,0
41,32,0
42,58,1
43,41,0
44,60,0
45,52,1
46,18,0
47,27,0
48,40,0
49,54,1
50,18,1
51,26,0
52,32,1
53,45,0
54,27,1
55,39,1
56,34,0
57,21,1
58,59,1
59,56,0
60,55,1
61,33,0
62,19,1
63,28,1
64,40,1
65,37,0
66,54,1
67,20,0
68,21,0
69,19,1
70,62,1
71,58,1
72,53,1
73,53,1
74,33,0
75,20,0
76,25,1
77,51,0
78,42,1
79,58,0
80,36,0
81,50,1
82,50,1
83,26,1
84,50,1
85,56,1
86,59,1
87,39,0
88,62,1
89,19,0
90,23,0
91,36,1
92,58,0
93,60,1
94,40,1
95,34,1
96,48,0
97,18,1
98,61,0
99,55,0
100,65,0
101,42,0
102,52,0
103,35,1
104,33,1
105,31,1
106,56,1
107,26,1
108,37,1
109,22,0
110,60,0
111,24,1
112,33,0
113,50,0
114,65,0
115,21,0
116,20,1
117,31,1
118,40,0
119,41,0
120,49,1
121,63,0
122,30,0
123,49,1
124,48,1
125,34,0
126,32,1
127,18,1
128,40,1
129,59,0
130,28,0
131,29,0
132,51,0
133,38,0
134,30,0
135,54,0
136,30,1
137,24,0
138,27,0
139,31,0
140,24,1
141,47,0
142,23,0
143,23,1
144,61,0
145,41,0
146,42,0
147,33,0
148,19,1
149,60,1
150,34,1
151,62,0
152,27,0
153,31,0
154,32,1
155,36,1
156,36,1
157,39,1
158,30,1
159,52,0
160,53,0
161,24,0
162,29,0
163,62,1
164,61,0
165,19,1
166,23,0
167,55,0
168,60,0
169,64,1
170,57,1
171,34,1
172,56,1
173,26,1
174,31,1
175,22,0
176,18,0
177,32,1
178,55,1
179,43,0
180,26,0
181,34,1
182,56,1
183,53,1
184,56,1
185,43,1
186,23,1
187,61,1
188,32,0
189,55,0
190,22,1
191,49,0
192,55,0
193,48,0
194,28,1
195,65,1
196,65,0
197,47,0
198,63,1
199,46,1
200,31,0
201,18,1
202,34,0
203,43,0
204,38,0
205,36,0
206,54,0
207,45,1
208,22,0
209,26,0
210,48,0
211,33,0
212,19,0
213,18,1
214,29,1
215,47,1
216,33,1
217,25,1
218,31,0
219,34,1
220,35,1
221,63,0
222,26,1
223,64,1
224,54,1
225,37,1
226,36,1
227,60,0
228,25,1
229,56,0
230,61,0
231,46,1
232,22,1
233,53,1
234,36,0
235,62,0
236,41,0
237,60,0
238,28,0
239,48,1
240,61,0
241,60,1
242,38,1
243,46,1
244,40,1
245,55,0
246,38,0
247,38,1
248,58,0
249,37,0
250,55,0
251,48,0
252,24,1
253,23,1
254,40,1
255,52,1
256,44,0
257,47,1
258,39,1
259,56,0
260,61,0
261,46,1
262,55,1
263,55,0
264,27,0
265,63,0
266,28,0
267,25,0
268,43,1
269,51,1
270,60,1
271,37,0
272,20,1
273,22,0
274,43,0
275,62,1
276,22,0
277,30,0
278,58,0
279,34,1
280,63,1
281,33,0
282,36,0
283,26,0
284,49,0
285,18,0
286,25,0
287,60,1
288,65,1
289,26,1
290,64,1
291,55,0
292,22,1
293,41,1
294,33,1
295,20,0
296,24,0
297,32,0
298,32,0
299,46,0
300,28,0
301,40,0
302,32,1
303,58,0
304,28,1
305,41,0
306,25,1
307,29,1
308,44,0
309,59,1
310,55,1
311,53,0
312,20,0
313,44,1
314,47,1
315,55,1
316,40,1
317,63,0
318,26,1
319,33,0
320,28,0
321,32,1
322,21,0
323,20,0
324,26,1
325,24,0
326,42,1
327,23,1
328,63,1
329,26,1
330,43,1
331,32,0
332,54,0
333,32,0
334,52,0
335,52,0
336,63,0
337,32,1
338,45,0
339,41,0
340,47,0
341,54,0
342,18,1
343,53,1
344,41,0
345,52,1
346,23,1
347,58,0
348,43,0
349,21,1
350,37,0
351,30,1
352,37,0
353,57,1
354,40,1
355,27,1
356,34,0
357,18,0
358,58,1
359,41,1
360,53,1
361,38,1
362,65,0
363,54,1
364,19,1
365,62,1
366,19,1
367,65,1
368,47,0
369,46,1
370,36,0
371,37,0
372,29,1
373,20,0
374,59,0
375,39,0
376,21,0
377,42,1
378,45,1
379,59,1
380,30,0
381,59,1
382,30,1
383,49,1
384,26,1
385,50,0
386,39,1
387,20,1
388,45,1
389,20,1
390,47,0
391,21,0
392,37,1
393,32,1
394,63,1
395,44,1
396,22,1
397,25,1
398,20,1
399,62,1
400,23,1
401,60,0
402,40,1
403,60,1
404,24,1
405,39,0
406,57,1
407,47,0
408,44,0
409,19,0
410,46,0
411,52,0
412,26,1
413,43,1
414,33,0
415,45,0
416,60,1
417,18,0
418,51,1
419,53,0
420,19,0
421,33,1
422,20,0
423,63,1
424,60,0
425,45,0
426,57,0
427,49,1
428,59,0
429,36,1
430,57,0
431,20,1
432,49,0
433,21,1
434,19,0
435,23,1
436,22,1
437,36,0
438,60,1
439,52,1
440,46,1
441,18,1
442,22,0
443,65,1
444,61,0
445,65,1
446,36,1
447,30,1
448,45,0
449,47,1
450,26,0
451,50,1
452,41,1
453,60,0
454,55,0
455,58,1
456,37,0
457,40,1
458,39,1
459,32,1
460,34,1
461,39,1
462,56,1
463,23,0
464,23,0
465,61,0
466,43,0
467,59,0
468,49,1
469,32,1
470,19,1
471,26,1
472,51,1
473,57,0
474,41,0
475,27,1
476,57,0
477,20,1
478,43,0
479,64,0
480,41,1
481,34,0
482,63,1
483,47,1
484,57,0
485,32,0
486,20,0
487,35,0
488,61,1
489,62,1
490,62,1
491,29,1
492,25,1
493,45,1
494,50,0
495,41,0
496,29,0
497,41,1
498,41,1
499,23,1
500,51,0
501,35,1
502,30,0
503,18,0
504,47,1
505,49,0
506,49,0
507,48,1
508,27,0
509,42,1
510,29,0
511,52,0
512,53,0
513,43,1
514,24,0
515,52,1
516,19,0
517,41,1
518,39,0
519,45,0
520,53,1
521,49,1
522,46,1
523,58,1
524,32,1
525,33,0
526,20,1
527,48,1
528,37,1
529,42,1
530,47,1
531,44,0
532,64,0
533,59,1
534,22,1
535,24,1
536,28,1
537,40,0
538,56,1
539,64,1
540,37,0
541,39,1
542,21,1
543,28,1
544,33,1
545,65,0
546,49,0
547,64,0
548,22,1
549,55,1
550,65,0
551,20,1
552,23,0
553,23,1
554,45,0
555,27,1
556,43,1
557,42,1
558,33,0
559,51,1
560,24,0
561,35,0
562,37,1
563,23,0
564,49,1
565,41,0
566,63,0
567,60,0
568,48,0
569,54,0
570,59,0
571,35,1
572,51,1
573,47,0
574,22,1
575,63,1
576,42,1
577,24,1
578,37,1
579,50,1
580,42,1
581,40,1
582,63,1
583,59,0
584,42,0
585,54,0
586,28,0
587,22,1
588,23,1
589,23,0
590,48,1
591,31,1
592,56,0
593,51,1
594,56,1
595,20,1
596,33,0
597,52,1
598,29,1
599,62,1
600,61,1
601,44,0
602,20,1
603,47,1
604,21,0
605,22,1
606,43,0
607,47,0
608,40,0
609,62,1
610,39,0
611,25,0
612,20,0
613,29,0
614,53,0
615,53,0
616,19,1
617,41,1
618,63,0
619,53,0
620,37,0
621,62,1
622,49,1
623,50,0
624,29,0
625,20,1
626,39,1
627,52,0
628,32,1
629,41,0
630,44,0
631,53,1
632,52,1
633,20,0
634,60,0
635,52,1
636,61,0
637,40,0
638,53,0
639,37,1
640,45,1
641,20,1
642,35,0
643,39,1
644,59,0
645,46,0
646,61,0
647,28,1
648,52,1
649,32,1
650,44,1
651,38,0
652,57,1
653,30,0
654,63,1
655,28,0
656,30,1
657,39,0
658,42,0
659,48,0
660,45,0
661,25,0
662,30,0
663,56,0
664,51,1
665,38,1
666,60,0
667,28,1
668,26,1
669,43,0
670,36,0
671,57,1
672,61,1
673,52,1
674,27,0
675,49,1
676,26,0
677,27,1
678,24,1
679,39,1
680,45,1
681,51,0
682,45,0
683,44,0
684,47,1
685,57,1
686,39,0
687,44,0
688,36,1
689,19,1
690,60,0
691,25,1
692,49,0
693,57,0
694,31,1
695,39,1
696,55,1
697,50,0
698,61,0
699,33,1
700,38,1
701,53,0
702,49,1
703,18,0
704,23,1
705,20,0
706,63,0
707,40,1
708,22,0
709,52,0
710,51,1
711,29,1
712,43,1
713,64,0
714,27,0
715,62,0
716,19,0
717,23,0
718,40,0
719,46,0
720,25,1
721,29,0
722,33,0
723,19,0
724,34,1
725,47,1
726,39,1
727,52,0
728,59,0
729,50,0
730,36,1
731,43,0
732,50,1
733,37,0
734,24,0
735,38,0
736,47,1
737,35,1
738,40,1
739,41,1
740,56,0
741,58,0
742,53,0
743,50,1
744,31,1
745,19,0
746,42,1
747,51,1
748,20,0
749,50,1
750,53,1
751,38,0
752,56,0
753,44,1
754,64,1
755,60,0
756,39,1
757,25,1
758,38,1
759,39,1
760,52,0
761,65,0
762,45,1
763,24,1
764,50,0
765,64,1
766,57,0
767,24,0
768,45,0
769,22,1
770,42,1
771,37,1
772,27,0
773,18,1
774,44,0
775,57,1
776,39,1
777,60,1
778,55,1
779,30,1
780,26,1
781,41,0
782,60,0
783,28,0
784,64,0
785,43,1
786,32,0
787,29,0
788,44,1
789,25,1
790,42,1
791,26,1
792,38,1
793,50,1
794,65,0
795,37,1
796,42,1
797,33,1
798,48,0
799,38,1
800,28,1
801,36,1
802,56,0
803,52,1
804,20,0
805,24,0
806,38,0
807,25,0
808,47,1
809,18,0
810,25,1
811,60,1
812,35,0
813,53,1
814,40,1
815,60,0
816,60,1
817,44,1
818,38,1
819,29,1
820,49,0
821,41,0
822,21,1
823,64,1
824,19,0
825,26,0
826,38,0
827,33,1
828,44,1
829,25,1
830,64,1
831,23,1
832,30,0
833,58,0
834,65,0
835,32,1
836,53,1
837,31,1
838,34,0
839,63,1
840,47,0
841,47,1
842,53,1
843,20,1
844,18,0
845,58,0
846,34,1
847,21,1
848,53,0
849,30,1
850,35,0
851,46,1
852,20,0
853,44,0
854,20,1
855,39,0
856,61,1
857,62,1
858,19,0
859,27,1
860,55,0
861,22,0
862,64,1
863,57,1
864,59,0
865,37,1
866,61,0
867,18,0
868,25,1
869,32,1
870,34,1
871,42,0
872,20,0
873,60,0
874,42,1
875,20,1
876,49,0
877,27,1
878,53,1
879,65,0
880,18,0
881,32,1
882,20,1
883,26,1
884,26,1
885,51,1
886,24,1
887,19,0
888,22,0
889,49,0
890,45,1
891,49,0
892,23,0
893,33,0
894,54,0
895,35,0
896,37,1
897,47,1
898,64,0
899,46,0
900,34,0
901,55,1
902,23,0
903,54,1
904,36,1
905,28,1
906,35,0
907,63,0
908,46,0
909,28,0
910,40,0
911,56,0
912,35,0
913,28,1
914,47,1
915,44,0
916,21,1
917,48,0
918,31,1
919,51,0
920,34,1
921,56,0
922,34,1
923,50,1
924,63,0
925,19,0
926,57,1
927,21,1
928,39,0
929,43,0
930,52,1
931,30,0
932,41,1
933,47,0
934,56,0
935,59,1
936,32,0
937,36,1
938,32,1
939,27,1
940,45,1
