id,age,job
1,58,1
2,54,1
3,60,1
4,54,0
5,26,0
6,64,0
7,52,1
8,42,0
9,37,1
10,39,1
11,24,1
12,51,1
13,19,0
14,24,1
15,48,0
16,27,0
17,19,1
18,40,1
19,21,1
20,52,1
21,35,0
22,21,1
23,26,0
24,65,0
25,40,1
26,38,1
27,61,1
28,31,0
29,55,1
30,42,1
31,46,1
32,59,0
33,42,1
34,43,1
35,40,1
36,18,0
37,52,0
38,53,0
39,48,0
40,32,1
41,56,1
42,55,0
43,62,1
44,53,1
45,33,0
46,58,0
47,26,1
48,54,0
49,58,0
50,56,1
51,23,0
52,56,0
53,28,0
54,36,0
55,46,1
56,63,0
57,59,0
58,24,0
59,35,1
60,43,1
61,55,0
62,24,1
63,56,1
64,28,0
65,62,0
66,52,0
67,53,1
68,51,1
69,37,0
70,19,1
71,22,1
72,51,1
73,51,0
74,38,1
75,59,1
76,30,0
77,51,0
78,22,1
79,58,1
80,50,1
81,55,0
82,64,0
83,58,0
84,32,1
85,30,1
86,37,1
87,33,0
88,39,1
89,32,1
90,24,0
91,65,1
92,22,0
93,18,0
94,28,0
95,57,0
96,35,1
97,42,1
98,42,1
99,56,0
100,50,0
101,61,0
102,32,1
103,41,1
104,25,0
105,62,1
106,42,0
107,22,1
108,48,1
109,56,1
110,25,1
111,33,1
112,45,0
113,20,0
114,51,1
115,58,0
116,39,0
117,47,1
118,52,1
119,42,0
120,28,1
121,20,1
122,40,0
123,23,0
124,59,1
125,29,1
126,19,0
127,24,0
128,27,1
129,19,0
130,40,1
131,62,1
132,19,1
133,35,1
134,56,0
135,32,1
136,59,1
137,40,0
138,18,0
139,58,1
140,21,0
141,28,0
142,45,0
143,39,1
144,55,1
145,48,1
146,30,1
147,27,0
148,62,1
149,31,0
150,43,0
151,29,0
152,48,1
153,19,0
154,19,0
155,58,0
156,49,1
157,41,0
158,24,1
159,40,1
160,22,1
161,49,0
162,21,1
163,21,0
164,60,1
165,20,1
166,65,1
167,45,1
168,44,0
169,65,0
170,55,1
171,47,0
172,22,1
173,27,1
174,21,0
175,41,1
176,19,0
177,56,1
178,46,1
179,28,0
180,19,0
181,50,0
182,20,0
183,61,1
184,65,0
185,42,1
186,51,0
187,41,0
188,27,0
189,22,0
190,19,0
191,27,0
192,42,1
193,31,0
194,56,0
195,22,1
196,22,0
197,37,1
198,32,0
199,63,1
200,45,0
201,23,1
202,49,0
203,47,0
204,24,0
205,49,0
206,58,0
207,27,0
208,34,1
209,46,1
210,29,1
211,62,1
212,47,1
213,34,0
214,37,1
215,60,1
216,32,0
217,56,1
218,58,1
219,21,1
220,19,0
221,20,1
222,18,0
223,30,0
224,23,1
225,60,0
226,18,0
227,23,1
228,19,1
229,30,1
230,21,0
231,63,0
232,45,1
233,28,1
234,34,0
235,26,1
236,24,0
237,50,1
238,32,1
239,28,0
240,55,1
241,34,1
242,35,0
243,41,1
244,35,0
245,34,1
246,47,0
247,30,1
248,33,1
249,63,1
250,48,1
251,28,0
252,39,1
253,36,0
254,57,0
255,58,1
256,32,0
257,56,1
258,41,1
259,31,1
260,38,0
261,52,1
262,59,1
263,26,0
264,35,0
265,21,1
266,52,0
267,39,1
268,59,0
269,43,0
270,28,0
271,56,1
272,21,1
273,47,0
274,59,1
275,46,1
276,61,0
277,58,1
278,20,0
279,48,1
280,39,1
281,25,1
282,49,1
283,32,0
284,21,1
285,38,0
286,23,0
287,59,1
288,61,0
289,49,1
290,43,1
291,51,0
292,32,1
293,44,1
294,65,1
295,24,0
296,60,1
297,52,1
298,39,0
299,56,0
300,48,0
301,44,1
302,57,1
303,58,0
304,51,1
305,26,1
306,39,0
307,60,1
308,65,1
309,32,1
310,46,1
311,65,0
312,31,0
313,45,0
314,59,1
315,54,1
316,58,0
317,49,0
318,21,1
319,50,1
320,49,0
321,54,1
322,36,0
323,59,0
324,44,1
325,44,1
326,53,1
327,64,0
328,38,0
329,40,1
330,55,1
331,26,1
332,28,1
333,46,1
334,59,0
335,25,1
336,46,0
337,49,0
338,18,1
339,53,0
340,54,1
341,62,1
342,39,0
343,34,0
344,22,1
345,21,1
346,42,1
347,46,0
348,58,1
349,38,1
350,24,1
351,38,1
352,56,0
353,19,0
354,24,1
355,63,1
356,35,0
357,22,1
358,20,0
359,44,1
360,63,0
361,31,1
362,31,0
363,39,0
364,50,0
365,19,1
366,44,0
367,47,1
368,21,1
369,32,1
370,55,0
371,34,1
372,55,0
373,46,1
374,48,0
375,39,1
376,32,0
377,49,0
378,41,1
379,53,1
380,63,0
381,59,0
382,59,0
383,62,1
384,41,0
385,42,1
386,53,1
387,36,0
388,63,0
389,49,0
390,58,1
391,31,1
392,22,0
393,40,0
394,55,1
395,32,1
396,31,1
397,34,1
398,36,1
399,19,1
400,56,1
401,26,1
402,50,1
403,50,0
404,40,0
405,33,1
406,48,1
407,44,0
408,47,1
409,26,1
410,22,1
411,24,1
412,63,1
413,43,0
414,58,1
415,24,1
416,58,0
417,40,1
418,49,0
419,55,0
420,59,0
421,48,1
422,33,0
423,22,0
424,31,1
425,48,1
426,43,0
427,18,0
428,32,1
429,18,1
430,33,1
431,54,1
432,48,1
433,57,1
434,18,1
435,25,1
436,21,1
437,22,0
438,28,0
439,33,1
440,30,0
441,26,0
442,19,1
443,31,0
444,31,1
445,53,1
446,26,1
447,32,0
448,54,1
449,30,0
450,32,1
451,44,0
